Case,layer_name,MACs,num_cycles,MAC_per_cycle,num_cores,L1_mem,L2_mem,L1_tiling,L2_tiling
Case 1,ReluConvolution17,13824,74107,0.186541,2,64000,512000,31104.0,31104.0
Case 1,ReluConvolution18,589824,167164,3.528415,2,64000,512000,12512.0,152064.0
Case 1,ReluConvolution19,13824,74096,0.186569,2,64000,512000,31104.0,31104.0
Case 1,ReluConvolution20,589824,167161,3.528479,2,64000,512000,12512.0,152064.0
Case 1,ReluConvolution21,13824,74071,0.186632,2,64000,512000,31104.0,31104.0
Case 1,ReluConvolution22,1179648,335124,3.520034,2,64000,512000,12512.0,302592.0
Case 1,ReluPooling23,0,32142,0.0,2,64000,512000,3840.0,3840.0
Case 1,FullyConnected24,7680,5596,1.372409,2,64000,512000,8528.0,8528.0
Case 2,ReluConvolution0,165888,46942,3.533893,8,64000,256000,9960.0,9960.0
Case 2,ReluConvolution1,55296,50287,1.099608,8,64000,256000,10860.0,10860.0
Case 2,ReluConvolution2,147456,44929,3.281978,8,64000,256000,6528.0,6528.0
Case 2,ReluConvolution3,55296,53938,1.025177,8,64000,256000,7788.0,7788.0
Case 2,ReluConvolution4,294912,83783,3.51995,8,64000,256000,9984.0,9984.0
Case 2,ReluConvolution5,27648,31889,0.867007,8,64000,256000,10968.0,10968.0
Case 2,ReluConvolution6,147456,33132,4.450562,8,64000,256000,4416.0,4416.0
Case 2,ReluConvolution7,27648,23212,1.191108,8,64000,256000,6360.0,6360.0
Case 2,ReluConvolution8,294912,63076,4.675503,8,64000,256000,7296.0,7296.0
Case 2,ReluConvolution9,55296,45226,1.22266,8,64000,256000,12720.0,12720.0
Case 2,ReluConvolution10,589824,105857,5.571894,8,64000,256000,11136.0,11136.0
Case 2,ReluConvolution11,13824,18538,0.745712,8,64000,256000,10416.0,10416.0
Case 2,ReluConvolution12,294912,53923,5.469132,8,64000,256000,12288.0,12288.0
Case 2,ReluConvolution13,27648,27539,1.003958,8,64000,256000,16224.0,16224.0
Case 2,ReluConvolution14,589824,97349,6.05886,8,64000,256000,22272.0,22272.0
Case 2,ReluConvolution15,6912,12745,0.54233,8,64000,256000,15072.0,15072.0
Case 2,ReluConvolution16,294912,178292,1.654096,8,64000,256000,15480.0,39552.0
Case 2,ReluConvolution17,0,40694,0.0,8,64000,256000,36032.0,27840.0
Case 2,ReluConvolution18,0,2382246,0.0,8,64000,256000,20840.0,76800.0
Case 2,ReluConvolution19,0,40582,0.0,8,64000,256000,36032.0,27840.0
Case 2,ReluConvolution20,0,2426710,0.0,8,64000,256000,20840.0,76800.0
Case 2,ReluConvolution21,0,40101,0.0,8,64000,256000,36032.0,27840.0
Case 2,ReluConvolution22,0,4936209,0.0,8,64000,256000,34304.0,27392.0
Case 2,ReluPooling23,0,22972,0.0,8,64000,256000,1920.0,1920.0
Case 2,FullyConnected24,7680,4295,1.788126,8,64000,256000,8144.0,8144.0
Case 2,ReluConvolution0,165888,85482,1.940619,4,64000,256000,9960.0,9960.0
Case 2,ReluConvolution1,55296,70724,0.781856,4,64000,256000,10860.0,10860.0
Case 2,ReluConvolution2,147456,87118,1.692601,4,64000,256000,6528.0,6528.0
Case 2,ReluConvolution3,55296,77586,0.712706,4,64000,256000,7788.0,7788.0
Case 2,ReluConvolution4,294912,163656,1.802024,4,64000,256000,9984.0,9984.0
Case 2,ReluConvolution5,27648,55119,0.501606,4,64000,256000,10968.0,10968.0
Case 2,ReluConvolution6,147456,64030,2.302921,4,64000,256000,4416.0,4416.0
Case 2,ReluConvolution7,27648,42677,0.647843,4,64000,256000,6360.0,6360.0
Case 2,ReluConvolution8,294912,123247,2.392853,4,64000,256000,7296.0,7296.0
Case 2,ReluConvolution9,55296,84036,0.658004,4,64000,256000,12720.0,12720.0
Case 2,ReluConvolution10,589824,208407,2.830154,4,64000,256000,11136.0,11136.0
Case 2,ReluConvolution11,13824,32003,0.43196,4,64000,256000,10416.0,10416.0
Case 2,ReluConvolution12,294912,104676,2.817379,4,64000,256000,12288.0,12288.0
Case 2,ReluConvolution13,27648,50676,0.545584,4,64000,256000,16224.0,16224.0
Case 2,ReluConvolution14,589824,189814,3.107379,4,64000,256000,22272.0,22272.0
Case 2,ReluConvolution15,6912,21913,0.315429,4,64000,256000,15072.0,15072.0
Case 2,ReluConvolution16,294912,178569,1.65153,4,64000,256000,15480.0,39552.0
Case 2,ReluConvolution17,0,76877,0.0,4,64000,256000,36032.0,27840.0
Case 2,ReluConvolution18,0,2382268,0.0,4,64000,256000,20840.0,76800.0
Case 2,ReluConvolution19,0,76996,0.0,4,64000,256000,36032.0,27840.0
Case 2,ReluConvolution20,0,2426607,0.0,4,64000,256000,20840.0,76800.0
Case 2,ReluConvolution21,0,76146,0.0,4,64000,256000,36032.0,27840.0
Case 2,ReluConvolution22,0,4936274,0.0,4,64000,256000,34304.0,27392.0
Case 2,ReluPooling23,0,23008,0.0,4,64000,256000,1920.0,1920.0
Case 2,FullyConnected24,7680,6106,1.257779,4,64000,256000,8144.0,8144.0
Case 2,ReluConvolution0,165888,162966,1.01793,2,64000,256000,9960.0,9960.0
Case 2,ReluConvolution1,55296,132565,0.417124,2,64000,256000,10860.0,10860.0
Case 2,ReluConvolution2,147456,171285,0.860881,2,64000,256000,6528.0,6528.0
Case 2,ReluConvolution3,55296,149258,0.370473,2,64000,256000,7788.0,7788.0
Case 2,ReluConvolution4,294912,323963,0.910326,2,64000,256000,9984.0,9984.0
Case 2,ReluConvolution5,27648,101928,0.27125,2,64000,256000,10968.0,10968.0
Case 2,ReluConvolution6,147456,125934,1.170899,2,64000,256000,4416.0,4416.0
Case 2,ReluConvolution7,27648,81806,0.33797,2,64000,256000,6360.0,6360.0
Case 2,ReluConvolution8,294912,243676,1.210263,2,64000,256000,7296.0,7296.0
Case 2,ReluConvolution9,55296,161723,0.341918,2,64000,256000,12720.0,12720.0
Case 2,ReluConvolution10,589824,413522,1.426342,2,64000,256000,11136.0,11136.0
Case 2,ReluConvolution11,13824,59158,0.233679,2,64000,256000,10416.0,10416.0
Case 2,ReluConvolution12,294912,206296,1.429558,2,64000,256000,12288.0,12288.0
Case 2,ReluConvolution13,27648,97225,0.284371,2,64000,256000,16224.0,16224.0
Case 2,ReluConvolution14,589824,375043,1.572684,2,64000,256000,22272.0,22272.0
Case 2,ReluConvolution15,6912,40547,0.170469,2,64000,256000,15072.0,15072.0
Case 2,ReluConvolution16,294912,191778,1.537778,2,64000,256000,15480.0,39552.0
Case 2,ReluConvolution17,0,149989,0.0,2,64000,256000,36032.0,27840.0
Case 2,ReluConvolution18,0,4587489,0.0,2,64000,256000,20840.0,76800.0
Case 2,ReluConvolution19,0,149599,0.0,2,64000,256000,36032.0,27840.0
Case 2,ReluConvolution20,0,4647403,0.0,2,64000,256000,20840.0,76800.0
Case 2,ReluConvolution21,0,148765,0.0,2,64000,256000,36032.0,27840.0
Case 2,ReluConvolution22,0,9472607,0.0,2,64000,256000,34304.0,27392.0
Case 2,ReluPooling23,0,23072,0.0,2,64000,256000,1920.0,1920.0
Case 2,FullyConnected24,7680,8454,0.908446,2,64000,256000,8144.0,8144.0
Case 2,ReluConvolution0,165888,46882,3.538416,8,64000,320000,9960.0,9960.0
Case 2,ReluConvolution1,55296,50197,1.10158,8,64000,320000,10860.0,10860.0
Case 2,ReluConvolution2,147456,44959,3.279788,8,64000,320000,6528.0,6528.0
Case 2,ReluConvolution3,55296,53941,1.02512,8,64000,320000,7788.0,7788.0
Case 2,ReluConvolution4,294912,83744,3.52159,8,64000,320000,9984.0,9984.0
Case 2,ReluConvolution5,27648,31847,0.868151,8,64000,320000,10968.0,10968.0
Case 2,ReluConvolution6,147456,33014,4.466469,8,64000,320000,4416.0,4416.0
Case 2,ReluConvolution7,27648,23275,1.187884,8,64000,320000,6360.0,6360.0
Case 2,ReluConvolution8,294912,62963,4.683894,8,64000,320000,7296.0,7296.0
Case 2,ReluConvolution9,55296,45208,1.223146,8,64000,320000,12720.0,12720.0
Case 2,ReluConvolution10,589824,105884,5.570473,8,64000,320000,11136.0,11136.0
Case 2,ReluConvolution11,13824,18571,0.744386,8,64000,320000,10416.0,10416.0
Case 2,ReluConvolution12,294912,53887,5.472785,8,64000,320000,12288.0,12288.0
Case 2,ReluConvolution13,27648,27448,1.007287,8,64000,320000,16224.0,16224.0
Case 2,ReluConvolution14,589824,97326,6.060292,8,64000,320000,22272.0,22272.0
Case 2,ReluConvolution15,6912,12705,0.544038,8,64000,320000,15072.0,15072.0
Case 2,ReluConvolution16,294912,178379,1.653289,8,64000,320000,15480.0,39552.0
Case 2,ReluConvolution17,0,40681,0.0,8,64000,320000,36032.0,27840.0
Case 2,ReluConvolution18,0,2382249,0.0,8,64000,320000,20840.0,76800.0
Case 2,ReluConvolution19,0,40575,0.0,8,64000,320000,36032.0,27840.0
Case 2,ReluConvolution20,0,2426649,0.0,8,64000,320000,20840.0,76800.0
Case 2,ReluConvolution21,0,40058,0.0,8,64000,320000,36032.0,27840.0
Case 2,ReluConvolution22,0,4899561,0.0,8,64000,320000,20048.0,152832.0
Case 2,ReluPooling23,0,23005,0.0,8,64000,320000,1920.0,1920.0
Case 2,FullyConnected24,7680,4318,1.778601,8,64000,320000,8144.0,8144.0
Case 2,ReluConvolution0,165888,85502,1.940165,4,64000,320000,9960.0,9960.0
Case 2,ReluConvolution1,55296,70783,0.781205,4,64000,320000,10860.0,10860.0
Case 2,ReluConvolution2,147456,87083,1.693281,4,64000,320000,6528.0,6528.0
Case 2,ReluConvolution3,55296,77630,0.712302,4,64000,320000,7788.0,7788.0
Case 2,ReluConvolution4,294912,163701,1.801528,4,64000,320000,9984.0,9984.0
Case 2,ReluConvolution5,27648,55115,0.501642,4,64000,320000,10968.0,10968.0
Case 2,ReluConvolution6,147456,63990,2.30436,4,64000,320000,4416.0,4416.0
Case 2,ReluConvolution7,27648,42696,0.647555,4,64000,320000,6360.0,6360.0
Case 2,ReluConvolution8,294912,123243,2.392931,4,64000,320000,7296.0,7296.0
Case 2,ReluConvolution9,55296,83936,0.658788,4,64000,320000,12720.0,12720.0
Case 2,ReluConvolution10,589824,208409,2.830127,4,64000,320000,11136.0,11136.0
Case 2,ReluConvolution11,13824,31989,0.432149,4,64000,320000,10416.0,10416.0
Case 2,ReluConvolution12,294912,104646,2.818187,4,64000,320000,12288.0,12288.0
Case 2,ReluConvolution13,27648,50698,0.545347,4,64000,320000,16224.0,16224.0
Case 2,ReluConvolution14,589824,189875,3.10638,4,64000,320000,22272.0,22272.0
Case 2,ReluConvolution15,6912,21885,0.315833,4,64000,320000,15072.0,15072.0
Case 2,ReluConvolution16,294912,178515,1.652029,4,64000,320000,15480.0,39552.0
Case 2,ReluConvolution17,0,76824,0.0,4,64000,320000,36032.0,27840.0
Case 2,ReluConvolution18,0,2382144,0.0,4,64000,320000,20840.0,76800.0
Case 2,ReluConvolution19,0,76977,0.0,4,64000,320000,36032.0,27840.0
Case 2,ReluConvolution20,0,2426622,0.0,4,64000,320000,20840.0,76800.0
Case 2,ReluConvolution21,0,76130,0.0,4,64000,320000,36032.0,27840.0
Case 2,ReluConvolution22,0,4899136,0.0,4,64000,320000,20048.0,152832.0
Case 2,ReluPooling23,0,23010,0.0,4,64000,320000,1920.0,1920.0
Case 2,FullyConnected24,7680,6107,1.257573,4,64000,320000,8144.0,8144.0
Case 2,ReluConvolution0,165888,162880,1.018468,2,64000,320000,9960.0,9960.0
Case 2,ReluConvolution1,55296,132588,0.417051,2,64000,320000,10860.0,10860.0
Case 2,ReluConvolution2,147456,171522,0.859691,2,64000,320000,6528.0,6528.0
Case 2,ReluConvolution3,55296,149258,0.370473,2,64000,320000,7788.0,7788.0
Case 2,ReluConvolution4,294912,323905,0.910489,2,64000,320000,9984.0,9984.0
Case 2,ReluConvolution5,27648,101975,0.271125,2,64000,320000,10968.0,10968.0
Case 2,ReluConvolution6,147456,125893,1.17128,2,64000,320000,4416.0,4416.0
Case 2,ReluConvolution7,27648,81756,0.338177,2,64000,320000,6360.0,6360.0
Case 2,ReluConvolution8,294912,243739,1.20995,2,64000,320000,7296.0,7296.0
Case 2,ReluConvolution9,55296,161759,0.341842,2,64000,320000,12720.0,12720.0
Case 2,ReluConvolution10,589824,413602,1.426067,2,64000,320000,11136.0,11136.0
Case 2,ReluConvolution11,13824,59191,0.233549,2,64000,320000,10416.0,10416.0
Case 2,ReluConvolution12,294912,206291,1.429592,2,64000,320000,12288.0,12288.0
Case 2,ReluConvolution13,27648,97287,0.28419,2,64000,320000,16224.0,16224.0
Case 2,ReluConvolution14,589824,380907,1.548472,2,64000,320000,22272.0,22272.0
Case 2,ReluConvolution15,6912,40571,0.170368,2,64000,320000,15072.0,15072.0
Case 2,ReluConvolution16,294912,192601,1.531207,2,64000,320000,15480.0,39552.0
Case 2,ReluConvolution17,0,149989,0.0,2,64000,320000,36032.0,27840.0
Case 2,ReluConvolution18,0,4587474,0.0,2,64000,320000,20840.0,76800.0
Case 2,ReluConvolution19,0,149631,0.0,2,64000,320000,36032.0,27840.0
Case 2,ReluConvolution20,0,4647102,0.0,2,64000,320000,20840.0,76800.0
Case 2,ReluConvolution21,0,148713,0.0,2,64000,320000,36032.0,27840.0
Case 2,ReluConvolution22,0,9442475,0.0,2,64000,320000,20048.0,152832.0
Case 2,ReluPooling23,0,23028,0.0,2,64000,320000,1920.0,1920.0
Case 2,FullyConnected24,7680,8473,0.906409,2,64000,320000,8144.0,8144.0
Case 2,ReluConvolution0,165888,46882,3.538416,8,64000,512000,9960.0,9960.0
Case 2,ReluConvolution1,55296,50197,1.10158,8,64000,512000,10860.0,10860.0
Case 2,ReluConvolution2,147456,44959,3.279788,8,64000,512000,6528.0,6528.0
Case 2,ReluConvolution3,55296,53941,1.02512,8,64000,512000,7788.0,7788.0
Case 2,ReluConvolution4,294912,83744,3.52159,8,64000,512000,9984.0,9984.0
Case 2,ReluConvolution5,27648,31847,0.868151,8,64000,512000,10968.0,10968.0
Case 2,ReluConvolution6,147456,33014,4.466469,8,64000,512000,4416.0,4416.0
Case 2,ReluConvolution7,27648,23275,1.187884,8,64000,512000,6360.0,6360.0
Case 2,ReluConvolution8,294912,62963,4.683894,8,64000,512000,7296.0,7296.0
Case 2,ReluConvolution9,55296,45208,1.223146,8,64000,512000,12720.0,12720.0
Case 2,ReluConvolution10,589824,105884,5.570473,8,64000,512000,11136.0,11136.0
Case 2,ReluConvolution11,13824,18571,0.744386,8,64000,512000,10416.0,10416.0
Case 2,ReluConvolution12,294912,53887,5.472785,8,64000,512000,12288.0,12288.0
Case 2,ReluConvolution13,27648,27448,1.007287,8,64000,512000,16224.0,16224.0
Case 2,ReluConvolution14,589824,97326,6.060292,8,64000,512000,22272.0,22272.0
Case 2,ReluConvolution15,6912,12705,0.544038,8,64000,512000,15072.0,15072.0
Case 2,ReluConvolution16,294912,178379,1.653289,8,64000,512000,15480.0,39552.0
Case 2,ReluConvolution17,0,40681,0.0,8,64000,512000,36032.0,27840.0
Case 2,ReluConvolution18,0,2382249,0.0,8,64000,512000,20840.0,76800.0
Case 2,ReluConvolution19,0,40575,0.0,8,64000,512000,36032.0,27840.0
Case 2,ReluConvolution20,0,2426649,0.0,8,64000,512000,20840.0,76800.0
Case 2,ReluConvolution21,0,40058,0.0,8,64000,512000,36032.0,27840.0
Case 2,ReluConvolution22,0,4899561,0.0,8,64000,512000,20048.0,152832.0
Case 2,ReluPooling23,0,23005,0.0,8,64000,512000,1920.0,1920.0
Case 2,FullyConnected24,7680,4318,1.778601,8,64000,512000,8144.0,8144.0
Case 2,ReluConvolution0,165888,85502,1.940165,4,64000,512000,9960.0,9960.0
Case 2,ReluConvolution1,55296,70783,0.781205,4,64000,512000,10860.0,10860.0
Case 2,ReluConvolution2,147456,87083,1.693281,4,64000,512000,6528.0,6528.0
Case 2,ReluConvolution3,55296,77630,0.712302,4,64000,512000,7788.0,7788.0
Case 2,ReluConvolution4,294912,163701,1.801528,4,64000,512000,9984.0,9984.0
Case 2,ReluConvolution5,27648,55115,0.501642,4,64000,512000,10968.0,10968.0
Case 2,ReluConvolution6,147456,63990,2.30436,4,64000,512000,4416.0,4416.0
Case 2,ReluConvolution7,27648,42696,0.647555,4,64000,512000,6360.0,6360.0
Case 2,ReluConvolution8,294912,123243,2.392931,4,64000,512000,7296.0,7296.0
Case 2,ReluConvolution9,55296,83936,0.658788,4,64000,512000,12720.0,12720.0
Case 2,ReluConvolution10,589824,208409,2.830127,4,64000,512000,11136.0,11136.0
Case 2,ReluConvolution11,13824,31989,0.432149,4,64000,512000,10416.0,10416.0
Case 2,ReluConvolution12,294912,104646,2.818187,4,64000,512000,12288.0,12288.0
Case 2,ReluConvolution13,27648,50698,0.545347,4,64000,512000,16224.0,16224.0
Case 2,ReluConvolution14,589824,189875,3.10638,4,64000,512000,22272.0,22272.0
Case 2,ReluConvolution15,6912,21885,0.315833,4,64000,512000,15072.0,15072.0
Case 2,ReluConvolution16,294912,178515,1.652029,4,64000,512000,15480.0,39552.0
Case 2,ReluConvolution17,0,76824,0.0,4,64000,512000,36032.0,27840.0
Case 2,ReluConvolution18,0,2382144,0.0,4,64000,512000,20840.0,76800.0
Case 2,ReluConvolution19,0,76977,0.0,4,64000,512000,36032.0,27840.0
Case 2,ReluConvolution20,0,2426622,0.0,4,64000,512000,20840.0,76800.0
Case 2,ReluConvolution21,0,76130,0.0,4,64000,512000,36032.0,27840.0
Case 2,ReluConvolution22,0,4899136,0.0,4,64000,512000,20048.0,152832.0
Case 2,ReluPooling23,0,23010,0.0,4,64000,512000,1920.0,1920.0
Case 2,FullyConnected24,7680,6107,1.257573,4,64000,512000,8144.0,8144.0
Case 2,ReluConvolution0,165888,162880,1.018468,2,64000,512000,9960.0,9960.0
Case 2,ReluConvolution1,55296,132588,0.417051,2,64000,512000,10860.0,10860.0
Case 2,ReluConvolution2,147456,171522,0.859691,2,64000,512000,6528.0,6528.0
Case 2,ReluConvolution3,55296,149258,0.370473,2,64000,512000,7788.0,7788.0
Case 2,ReluConvolution4,294912,323905,0.910489,2,64000,512000,9984.0,9984.0
Case 2,ReluConvolution5,27648,101975,0.271125,2,64000,512000,10968.0,10968.0
Case 2,ReluConvolution6,147456,125893,1.17128,2,64000,512000,4416.0,4416.0
Case 2,ReluConvolution7,27648,81756,0.338177,2,64000,512000,6360.0,6360.0
Case 2,ReluConvolution8,294912,243739,1.20995,2,64000,512000,7296.0,7296.0
Case 2,ReluConvolution9,55296,161759,0.341842,2,64000,512000,12720.0,12720.0
Case 2,ReluConvolution10,589824,413602,1.426067,2,64000,512000,11136.0,11136.0
Case 2,ReluConvolution11,13824,59191,0.233549,2,64000,512000,10416.0,10416.0
Case 2,ReluConvolution12,294912,206291,1.429592,2,64000,512000,12288.0,12288.0
Case 2,ReluConvolution13,27648,97287,0.28419,2,64000,512000,16224.0,16224.0
Case 2,ReluConvolution14,589824,380907,1.548472,2,64000,512000,22272.0,22272.0
Case 2,ReluConvolution15,6912,40571,0.170368,2,64000,512000,15072.0,15072.0
Case 2,ReluConvolution16,294912,192601,1.531207,2,64000,512000,15480.0,39552.0
Case 2,ReluConvolution17,0,149989,0.0,2,64000,512000,36032.0,27840.0
